,index,participantID,bluetoothCount.daily,bluetoothUniqueDevice.daily,bluetoothMostUniqueScan.daily,batteryDischargeCount.daily,batteryChargeCount.daily,batteryDischargeCount.morning,batteryDischargeCount.evening,batteryChargeCount.evening,batteryDischargeCount.night,batteryChargeCount.night,screenUnlockCount.daily,screenUnlockRatio.daily,screenUnlockDuration.mean.daily,screenUnlockDuration.std.daily,screenUnlockCount.morning,screenUnlockRatio.morning,screenUnlockDuration.mean.morning,screenUnlockDuration.std.morning,screenUnlockCount.evening,screenUnlockRatio.evening,screenUnlockDuration.mean.evening,screenUnlockDuration.std.evening,wifiCount.daily,wifiUniqueDevice.daily,wifiMostUniqueScan.daily,wifiCount.morning,wifiUniqueDevice.morning,wifiMostUniqueScan.morning,wifiCount.evening,wifiUniqueDevice.evening,wifiMostUniqueScan.evening,wifiCount.night,wifiUniqueDevice.night,neoConscientiousness,neoNeuroticism,neoExtraversion,neoAgreeableness,neoOpenness,NegativeAffectivity,Detachment,Antagonism,Disinhibition,Psychoticism
20,2.0,223,27.0,5.0,22.0,4.0,5.0,2.0,1.0,1.0,0.0,1.0,51.0,0.03655914,3.193021569,5.3618666,15.0,0.041666667000000004,2.352103333,5.327135945,12.0,0.033333333,2.777426389,3.9389374360000002,1342.0,5.0,880.0,360.0,4.0,243.5,358.0,1.0,358.0,360.0,2.0,2.75,1.625,1.8333333330000001,3.083333333,2.583333333,0.8309523809999999,1.2936507940000002,0.6023809520000001,1.472789116,0.7222222220000001
21,3.0,223,26.0,2.0,25.0,4.0,2.0,1.0,1.0,2.0,0.5833333333333334,0.6666666666666666,37.0,0.025694444,4.448085586,6.020830376,9.0,0.025,2.631716667,1.453597255,9.0,0.025,2.83567037,2.8391026010000004,1435.0,2.0,1414.0,360.0,1.0,360.0,360.0,1.0,360.0,360.0,1.0,2.75,1.625,1.8333333330000001,3.083333333,2.583333333,0.8309523809999999,1.2936507940000002,0.6023809520000001,1.472789116,0.7222222220000001
22,4.0,223,128.0,26.0,50.0,2.0,2.0,1.0,1.0,1.0,0.5833333333333334,0.6666666666666666,26.0,0.020472441,10.28965192,39.06919081,3.0,0.015789473999999998,69.34076111,78.85957916702013,9.0,0.025,3.695335185,3.3385230139999997,1187.0,2.0,1021.0,168.0,1.0,168.0,360.0,2.0,215.0,360.0,1.0,2.75,1.625,1.8333333330000001,3.083333333,2.583333333,0.8309523809999999,1.2936507940000002,0.6023809520000001,1.472789116,0.7222222220000001
23,5.0,223,34.0,10.0,24.0,5.0,5.0,1.0,2.0,1.0,0.0,1.0,41.0,0.028472222000000002,2.727714228,4.937042257,8.0,0.022222222000000003,6.195872917000001,9.324734064,17.0,0.047222222,2.358296078,2.952878955,1440.0,2.0,1152.0,360.0,1.0,360.0,360.0,2.0,293.0,360.0,1.0,2.75,1.625,1.8333333330000001,3.083333333,2.583333333,0.8309523809999999,1.2936507940000002,0.6023809520000001,1.472789116,0.7222222220000001
24,6.0,223,15.0,9.0,7.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,66.0,0.048351648,3.451502778,11.34385539,8.0,0.028070175,12.71144375,31.72952399,36.0,0.1,2.31989537,3.4159503360000003,1358.0,5.0,771.0,278.0,3.0,243.5,360.0,2.0,261.0,360.0,2.0,2.75,1.625,1.8333333330000001,3.083333333,2.583333333,0.8309523809999999,1.2936507940000002,0.6023809520000001,1.472789116,0.7222222220000001
25,7.0,223,27.0,5.0,22.0,3.0,5.0,1.0,1.0,1.0,0.0,1.0,39.0,0.03046875,2.161646581,3.3996524189999997,13.0,0.057777777999999995,0.883948718,0.778344665,11.0,0.030555556,2.39904697,2.8764170780000002,1204.0,5.0,828.0,179.0,4.0,243.5,341.0,1.0,341.0,338.0,2.0,2.75,1.625,1.8333333330000001,3.083333333,2.583333333,0.8309523809999999,1.2936507940000002,0.6023809520000001,1.472789116,0.7222222220000001
26,8.0,224,24.0,1.0,24.0,3.0,4.0,1.0,1.0,1.0,0.0,1.0,32.0,0.022614841,12.06371563,41.779976899999994,5.0,0.013888889,24.28769333,47.31423395,16.0,0.04444444400000001,3.3103677080000002,4.231163204,1400.0,2.0,1399.0,360.0,1.0,360.0,360.0,1.0,360.0,360.0,1.0,2.75,1.625,1.8333333330000001,3.083333333,2.583333333,0.8309523809999999,1.2936507940000002,0.6023809520000001,1.472789116,0.7222222220000001
27,9.0,224,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,15.0,0.018292683,26.55803667,94.95119721,9.0,0.058064516,28.89584815,78.85957916702013,3.0,0.016216216000000002,1.702305556,2.883283866,466.0,5.0,315.0,105.0,4.0,243.5,12.0,2.0,4.0,337.0,2.0,2.75,1.625,1.8333333330000001,3.083333333,2.583333333,0.8309523809999999,1.2936507940000002,0.6023809520000001,1.472789116,0.7222222220000001
28,10.0,224,10.0,5.0,6.0,6.0,5.0,2.0,2.0,1.0,1.0,0.0,28.0,0.026168224,9.997433333,26.18090044,6.0,0.016666667,27.86575,55.9422914,12.0,0.04137931,4.132184722,4.294401454,733.0,7.0,541.0,263.0,7.0,163.0,180.0,2.0,121.0,57.0,1.0,2.75,1.625,1.8333333330000001,3.083333333,2.583333333,0.8309523809999999,1.2936507940000002,0.6023809520000001,1.472789116,0.7222222220000001
29,11.0,224,8.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,47.0,0.033935018,6.7462982270000005,16.963251,15.0,0.041666667000000004,1.487403333,1.6336554980000002,16.0,0.04571428599999999,3.196141667,6.396007292,884.0,2.0,691.0,360.0,1.0,360.0,128.0,1.0,244.0,238.0,2.0,2.75,1.625,1.8333333330000001,3.083333333,2.583333333,0.8309523809999999,1.2936507940000002,0.6023809520000001,1.472789116,0.7222222220000001
